Leite de cabra cru,Leites e Produtos Lácteos,291.0 kJ,70.0 kcal,4.0 g,4.6 g,100.0 mg,3.8 g,11.0 mg
Leite de ovelha cru,Leites e Produtos Lácteos,388.0 kJ,93.0 kcal,6.2 g,4.2 g,92.0 mg,5.1 g,55.0 mg
Leite de vaca esterilizado gordo,Leites e Produtos Lácteos,257.0 kJ,62.0 kcal,3.5 g,4.5 g,110.0 mg,3.0 g,13.0 mg
Leite de vaca esterilizado magro,Leites e Produtos Lácteos,138.0 kJ,32.0 kcal,0.1 g,4.7 g,100.0 mg,3.2 g,1.0 mg
Leite de vaca esterilizado meio gordo,Leites e Produtos Lácteos,190.0 kJ,45.0 kcal,1.5 g,4.7 g,100.0 mg,3.2 g,8.0 mg
Leite de vaca esterilizado achocolatado meio gordo,Leites e Produtos Lácteos,265.0 kJ,63.0 kcal,1.1 g,9.9 g,140.0 mg,3.3 g,6.0 mg
Leite de vaca pasteurizado gordo,Leites e Produtos Lácteos,260.0 kJ,62.0 kcal,3.5 g,4.7 g,110.0 mg,3.0 g,13.0 mg
Leite de vaca pasteurizado gordo especial,Leites e Produtos Lácteos,260.0 kJ,62.0 kcal,3.4 g,4.8 g,92.0 mg,3.1 g,13.0 mg
Leite de vaca UHT gordo,Leites e Produtos Lácteos,260.0 kJ,62.0 kcal,3.5 g,4.7 g,110.0 mg,3.0 g,13.0 mg
Leite de vaca UHT magro,Leites e Produtos Lácteos,148.0 kJ,35.0 kcal,0.2 g,4.9 g,100.0 mg,3.4 g,1.0 mg
Leite de vaca UHT meio gordo,Leites e Produtos Lácteos,199.0 kJ,47.0 kcal,1.6 g,4.9 g,100.0 mg,3.3 g,8.0 mg
Leite de vaca UHT aromatizado meio gordo,Leites e Produtos Lácteos,252.0 kJ,60.0 kcal,1.8 g,7.9 g,100.0 mg,3.0 g,8.0 mg
Leite condensado de vaca,Leites e Produtos Lácteos,1420.0 kJ,338.0 kcal,9.0 g,56.4 g,350.0 mg,7.8 g,34.0 mg
Leite de vaca em pó gordo,Leites e Produtos Lácteos,2070.0 kJ,495.0 kcal,25.9 g,38.7 g,850.0 mg,26.8 g,69.0 mg
Leite de vaca em pó magro,Leites e Produtos Lácteos,1530.0 kJ,359.0 kcal,0.9 g,52.7 g,1300.0 mg,35.1 g,23.0 mg
Leite de vaca em pó meio gordo,Leites e Produtos Lácteos,1800.0 kJ,427.0 kcal,13.5 g,45.6 g,1100.0 mg,30.7 g,41.0 mg
Leite evaporado de vaca,Leites e Produtos Lácteos,567.0 kJ,136.0 kcal,7.8 g,9.8 g,350.0 mg,6.6 g,28.0 mg
Leite humano,Leites e Produtos Lácteos,277.0 kJ,66.0 kcal,3.4 g,7.5 g,48.0 mg,1.4 g,16.0 mg
Leite humano colostro,Leites e Produtos Lácteos,250.0 kJ,60.0 kcal,2.8 g,6.3 g,150.0 mg,2.3 g,31.0 mg
Leite humano transição,Leites e Produtos Lácteos,276.0 kJ,66.0 kcal,3.7 g,6.6 g,95.0 mg,1.6 g,24.0 mg
Nata maturada pasteurizada 30% gordura,Leites e Produtos Lácteos,1260.0 kJ,306.0 kcal,32.0 g,2.7 g,70.0 mg,1.9 g,66.0 mg
Nata não maturada pasteurizada 33% gordura,Leites e Produtos Lácteos,1300.0 kJ,317.0 kcal,33.0 g,2.9 g,92.0 mg,2.0 g,97.0 mg
Nata não maturada pasteurizada 36% gordura,Leites e Produtos Lácteos,1400.0 kJ,340.0 kcal,36.0 g,1.9 g,70.0 mg,2.0 g,91.0 mg
Nata não maturada pasteurizada para café 15% gordura,Leites e Produtos Lácteos,630.0 kJ,153.0 kcal,15.0 g,2.4 g,100.0 mg,2.0 g,40.0 mg
Nata não maturada UHT 35% gordura,Leites e Produtos Lácteos,1380.0 kJ,335.0 kcal,35.0 g,3.1 g,70.0 mg,1.8 g,74.0 mg
Nata para bater pasteurizada 34% gordura,Leites e Produtos Lácteos,1330.0 kJ,323.0 kcal,34.0 g,2.1 g,75.0 mg,2.2 g,122.0 mg
Queijo de Alcobaça,Leites e Produtos Lácteos,1140.0 kJ,276.0 kcal,22.0 g,1.5 g,2350.0 mg,16.7 g,88.0 mg
Queijo de Alverca curado,Leites e Produtos Lácteos,1690.0 kJ,408.0 kcal,34.8 g,1.0 g,2250.0 mg,22.0 g,81.0 mg
Queijo de Alverca fresco,Leites e Produtos Lácteos,1080.0 kJ,261.0 kcal,21.0 g,1.5 g,1720.0 mg,16.5 g,88.0 mg
Queijo de Azeitão,Leites e Produtos Lácteos,1300.0 kJ,313.0 kcal,25.0 g,0.1 g,2250.0 mg,21.0 g,88.0 mg
Queijo Camembert Nacional,Leites e Produtos Lácteos,1060.0 kJ,254.0 kcal,19.6 g,0.2 g,1450.0 mg,19.2 g,75.0 mg
Queijo creme para barrar,Leites e Produtos Lácteos,1090.0 kJ,263.0 kcal,22.0 g,6.9 g,2450.0 mg,9.3 g,18.0 mg
Queijo Emmental,Leites e Produtos Lácteos,1600.0 kJ,384.0 kcal,29.7 g,0.0 g,980.0 mg,28.9 g,98.0 mg
Queijo de Évora,Leites e Produtos Lácteos,1730.0 kJ,417.0 kcal,33.5 g,1.3 g,8150.0 mg,26.3 g,55.0 mg
Queijo flamengo 30% gordura,Leites e Produtos Lácteos,1030.0 kJ,247.0 kcal,14.0 g,0.2 g,2580.0 mg,30.0 g,38.0 mg
Queijo flamengo 45% gordura,Leites e Produtos Lácteos,1320.0 kJ,316.0 kcal,23.4 g,0.2 g,2120.0 mg,26.0 g,69.0 mg
Queijo fresco açucarado com sabor a fruta,Leites e Produtos Lácteos,462.0 kJ,110.0 kcal,3.6 g,11.6 g,95.0 mg,7.3 g,19.0 mg
Queijo fundido 40% gordura,Leites e Produtos Lácteos,1350.0 kJ,326.0 kcal,25.7 g,0.2 g,3480.0 mg,22.5 g,88.0 mg
Queijo da Ilha,Leites e Produtos Lácteos,1490.0 kJ,358.0 kcal,25.7 g,0.2 g,2480.0 mg,31.5 g,69.0 mg
Queijo parmesão,Leites e Produtos Lácteos,1690.0 kJ,406.0 kcal,27.8 g,0.1 g,1920.0 mg,37.7 g,90.0 mg
Queijo quark açucarado magro com sabor a fruta,Leites e Produtos Lácteos,330.0 kJ,78.0 kcal,0.1 g,10.8 g,100.0 mg,8.4 g,8.0 mg
Queijo quark natural magro,Leites e Produtos Lácteos,254.0 kJ,60.0 kcal,0.3 g,4.0 g,100.0 mg,10.3 g,7.0 mg
Queijo quark natural meio gordo,Leites e Produtos Lácteos,518.0 kJ,124.0 kcal,8.5 g,3.9 g,92.0 mg,8.1 g,29.0 mg
Requeijão 8% de proteína,Leites e Produtos Lácteos,624.0 kJ,150.0 kcal,11.3 g,4.1 g,900.0 mg,8.0 g,49.0 mg
Requeijão 13% de proteína,Leites e Produtos Lácteos,778.0 kJ,187.0 kcal,12.7 g,5.1 g,700.0 mg,13.0 g,46.0 mg
Queijo Roquefort,Leites e Produtos Lácteos,1540.0 kJ,372.0 kcal,31.5 g,0.2 g,3900.0 mg,22.0 g,75.0 mg
Queijo da Serra curado,Leites e Produtos Lácteos,1620.0 kJ,389.0 kcal,31.5 g,0.2 g,1980.0 mg,25.5 g,81.0 mg
Queijo da Serra fresco,Leites e Produtos Lácteos,1380.0 kJ,333.0 kcal,27.0 g,0.2 g,1780.0 mg,21.0 g,88.0 mg
Queijo de Serpa,Leites e Produtos Lácteos,1390.0 kJ,335.0 kcal,25.7 g,0.3 g,2480.0 mg,24.8 g,88.0 mg
Iogurte natural sólido magro,Leites e Produtos Lácteos,177.0 kJ,42.0 kcal,0.2 g,5.2 g,180.0 mg,4.6 g,2.0 mg
Iogurte natural sólido meio gordo,Leites e Produtos Lácteos,228.0 kJ,54.0 kcal,1.8 g,5.0 g,160.0 mg,4.2 g,6.0 mg
Iogurte açucarado batido gordo com fruta,Leites e Produtos Lácteos,403.0 kJ,96.0 kcal,3.2 g,12.4 g,98.0 mg,4.2 g,12.0 mg
Iogurte açucarado batido gordo com cereais e fruta,Leites e Produtos Lácteos,478.0 kJ,113.0 kcal,3.2 g,15.8 g,120.0 mg,4.2 g,8.0 mg
Iogurte açucarado batido meio gordo,Leites e Produtos Lácteos,386.0 kJ,91.0 kcal,2.1 g,13.1 g,200.0 mg,4.7 g,8.0 mg
Iogurte açucarado batido meio gordo com fruta,Leites e Produtos Lácteos,389.0 kJ,92.0 kcal,1.7 g,14.6 g,180.0 mg,4.3 g,6.0 mg
Iogurte açucarado líquido meio gordo,Leites e Produtos Lácteos,295.0 kJ,70.0 kcal,1.4 g,11.2 g,120.0 mg,3.1 g,3.0 mg
Iogurte açucarado com edulcorante de síntese batido magro com cereais,Leites e Produtos Lácteos,208.0 kJ,49.0 kcal,0.4 g,5.7 g,230.0 mg,4.3 g,2.0 mg
Iogurte açucarado com edulcorante de síntese sólido magro,Leites e Produtos Lácteos,201.0 kJ,47.0 kcal,0.1 g,6.3 g,230.0 mg,5.0 g,2.0 mg
Iogurte aromatizado açucarado batido gordo,Leites e Produtos Lácteos,349.0 kJ,83.0 kcal,3.6 g,8.5 g,120.0 mg,3.9 g,8.0 mg
Iogurte aromatizado açucarado batido meio gordo,Leites e Produtos Lácteos,364.0 kJ,86.0 kcal,2.0 g,12.5 g,200.0 mg,4.4 g,8.0 mg
Iogurte aromatizado açucarado líquido magro,Leites e Produtos Lácteos,263.0 kJ,62.0 kcal,0.3 g,11.6 g,150.0 mg,3.2 g,1.0 mg
Iogurte aromatizado açucarado líquido meio gordo,Leites e Produtos Lácteos,297.0 kJ,70.0 kcal,1.3 g,11.5 g,100.0 mg,3.0 g,3.0 mg
Iogurte aromatizado açucarado sólido magro,Leites e Produtos Lácteos,294.0 kJ,69.0 kcal,0.1 g,11.8 g,180.0 mg,5.0 g,1.0 mg
